strategy,model,threshold_mode,features,train_sources,test_source,accuracy_mean,accuracy_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,f1_weighted_mean,f1_weighted_std,recall_very_high_mean,recall_very_high_std,precision_very_high_mean,precision_very_high_std,f1_very_high_mean,f1_very_high_std
quartile,multinomial_lr,youden,ctx,mother_jones+stanford_msa,kaggle,0.33714285714285713,0.019620999543317377,0.43943331907249317,0.1664551615626753,0.33714285714285713,0.019620999543317377,0.2892170940975564,0.03783274056712455,0.5153846153846154,0.22729760487834436,0.24995567438958047,0.00981961464807523,0.3264657513462128,0.05137604948400121
quartile,multinomial_lr,youden,full,kaggle+mother_jones,stanford_msa,0.37005988023952097,0.03772930299885838,0.4583402888020675,0.017626736268171125,0.37005988023952097,0.03772930299885838,0.3675988826599282,0.042729549383530144,0.5857142857142857,0.10045249099870941,0.3463973275369088,0.05639620837556624,0.42816553594146683,0.027850847234604736
quartile,multinomial_lr,youden,full,kaggle+stanford_msa,mother_jones,0.42675159235668786,0.07917071907424238,0.5169310895572221,0.022451342492693087,0.42675159235668786,0.07917071907424238,0.44374211534025354,0.059291583789296144,0.5101123595505619,0.1819739150104328,0.7074564223588801,0.037234228679784195,0.5733200700788921,0.1164498277513652
quartile,multinomial_lr,youden,full,mother_jones+stanford_msa,kaggle,0.36063492063492064,0.025057253664344276,0.37615481488296815,0.014527871131488401,0.36063492063492064,0.025057253664344276,0.34158998447082894,0.03221061060746466,0.49615384615384617,0.08749471666213328,0.29750388769806246,0.01394654976531048,0.3701369902106493,0.03171382558064698
quartile,multinomial_lr,youden_val,ctx,kaggle+mother_jones,stanford_msa,0.237125748502994,0.05756761781932569,0.24501898409194817,0.12133326962024185,0.237125748502994,0.05756761781932569,0.1517000783101584,0.06155758778163046,0.9571428571428571,0.07221786137191953,0.2026323222782568,0.04378500551222541,0.3316769404262657,0.05995303162995828
quartile,multinomial_lr,youden_val,ctx,kaggle+stanford_msa,mother_jones,0.5273885350318471,0.06563909823178725,0.43388774417637366,0.06937729751747933,0.5273885350318471,0.06563909823178725,0.4375829014879306,0.030796375039408203,0.8314606741573034,0.20426583104154883,0.604026460395452,0.051260861652977,0.6847155933725657,0.06365207948564822
quartile,multinomial_lr,youden_val,ctx,mother_jones+stanford_msa,kaggle,0.313015873015873,0.029491362952364673,0.3226098681436022,0.08696562309769815,0.313015873015873,0.029491362952364673,0.261052863009996,0.044841751338906305,0.3961538461538462,0.3141156459860834,0.19991983533744992,0.11224446580274144,0.2557203721687917,0.1508596785108259
quartile,multinomial_lr,youden_val,full,kaggle+mother_jones,stanford_msa,0.3568862275449102,0.043201009545934727,0.45210573037085966,0.03206083675254109,0.3568862275449102,0.043201009545934727,0.30921246699739563,0.08238897993302402,0.49523809523809526,0.1432534186332507,0.3439203866623221,0.037611495232773864,0.3918247961039723,0.041675455289705385
quartile,multinomial_lr,youden_val,full,kaggle+stanford_msa,mother_jones,0.5426751592356688,0.02131617901997644,0.4577297501653435,0.04378177651749485,0.5426751592356688,0.02131617901997644,0.4827232531716882,0.020882328412732666,0.8179775280898877,0.08000441851199055,0.6277633423592182,0.038175175766504636,0.7068525261076408,0.014818405187764625
quartile,multinomial_lr,youden_val,full,mother_jones+stanford_msa,kaggle,0.3657142857142857,0.019620999543317388,0.36837134870173854,0.015844159061160337,0.3657142857142857,0.019620999543317388,0.3449501676612496,0.0165573684483371,0.36153846153846153,0.16676525683599078,0.3314729718525888,0.030574549318454998,0.3332562407259071,0.08055064700963607
quartile,naive_bayes,default,ctx,kaggle+mother_jones,stanford_msa,0.37305389221556884,0.0026779257215566506,0.46298463320459166,0.02720029947056762,0.37305389221556884,0.0026779257215566506,0.33117187885099847,0.0034307867288692743,0.1,0.010647942749999,0.7828571428571429,0.0383325938999964,0.17698653929656968,0.015146617650454513
quartile,naive_bayes,default,ctx,kaggle+stanford_msa,mother_jones,0.18598726114649683,0.0028484942388532484,0.4836539653633635,0.0031939708638780663,0.18598726114649683,0.0028484942388532484,0.1779179264919932,0.00430585523853137,0.13707865168539327,0.005024871859550088,0.8025,0.0055901699437494465,0.23413919413919415,0.007535467176922369
quartile,naive_bayes,default,ctx,mother_jones+stanford_msa,kaggle,0.29904761904761906,0.014090375251537852,0.21528273863301334,0.028761079679587947,0.29904761904761906,0.014090375251537852,0.22331169344881188,0.01282756413591505,0.8653846153846153,0.0,0.25338030851266424,0.0007823117846674192,0.3919878488703247,0.0009359223500182914
quartile,naive_bayes,default,full,kaggle+mother_jones,stanford_msa,0.3772455089820359,0.011976047904191637,0.43644843080509316,0.03375202734722073,0.3772455089820359,0.011976047904191637,0.33172357776947087,0.010194316496854186,0.09523809523809523,0.0,0.8,0.0,0.1702127659574468,0.0
quartile,naive_bayes,default,full,kaggle+stanford_msa,mother_jones,0.4980891719745223,0.00830471643974862,0.47291100593277857,0.058572509962716485,0.4980891719745223,0.00830471643974862,0.44320994206897957,0.016658437055133556,0.750561797752809,0.014649893045399189,0.6429441077979987,0.017666175815843933,0.6923119704021959,0.005677759125040605
quartile,naive_bayes,default,full,mother_jones+stanford_msa,kaggle,0.34476190476190477,0.0017388017698576628,0.33609995655613745,0.035293032375343016,0.34476190476190477,0.0017388017698576628,0.22187084442761168,0.006283251484637821,0.2076923076923077,0.021066252211737163,0.4229450549450549,0.014569124509135268,0.27781502382237433,0.017994876611737255
quartile,naive_bayes,youden,ctx,kaggle+mother_jones,stanford_msa,0.3287425149700599,0.07453225844942254,0.44845392640693305,0.02008376394793761,0.3287425149700599,0.07453225844942254,0.29789663903647445,0.06711326725262635,0.2666666666666667,0.37015961501704797,0.6704181184668989,0.24466966189791678,0.21867214144488614,0.09061978320126249
quartile,naive_bayes,youden,ctx,kaggle+stanford_msa,mother_jones,0.24076433121019108,0.026029065912996873,0.5122065759630072,0.0055027061599104915,0.24076433121019108,0.026029065912996873,0.21486651442205568,0.002853490007543778,0.1348314606741573,0.0,0.8,0.0,0.23076923076923078,0.0
quartile,naive_bayes,youden,ctx,mother_jones+stanford_msa,kaggle,0.30476190476190473,0.015389459864813751,0.26719019147960804,0.050846874586107316,0.30476190476190473,0.015389459864813751,0.25454725531399613,0.026808772418073636,0.6846153846153846,0.01720052290384453,0.25246232640598837,0.0015760812573431676,0.3688669917492028,0.0040891891360755285
quartile,naive_bayes,youden,full,kaggle+mother_jones,stanford_msa,0.36107784431137724,0.01298172658004719,0.4895785123797567,0.04477417253560569,0.36107784431137724,0.01298172658004719,0.33069648203183116,0.01113059296561972,0.09523809523809523,0.0,0.8,0.0,0.1702127659574468,0.0
quartile,naive_bayes,youden,full,kaggle+stanford_msa,mother_jones,0.44203821656050957,0.01598713426498233,0.5177837879759164,0.03500071007243228,0.44203821656050957,0.01598713426498233,0.4555913513820252,0.018821890505531513,0.5191011235955056,0.012308372078767749,0.7633221617092585,0.05922516023741268,0.6172666364205334,0.022921413927888636
quartile,naive_bayes,youden,full,mother_jones+stanford_msa,kaggle,0.326984126984127,0.0107656031478179,0.38368982248744976,0.015767540364168397,0.326984126984127,0.0107656031478179,0.2726577748395793,0.017318198694610792,0.7115384615384615,0.0359774748728264,0.28619947062410217,0.013642978290601744,0.40776959298385285,0.013275566601049343
quartile,naive_bayes,youden_val,ctx,kaggle+mother_jones,stanford_msa,0.3203592814371258,0.0684379009021704,0.4519901231662443,0.031619621847241014,0.3203592814371258,0.0684379009021704,0.2853835584539394,0.05476148767778816,0.33333333333333337,0.35634832254989923,0.5529243841310594,0.26328829101704826,0.2600902302793884,0.09401111352262943
quartile,naive_bayes,youden_val,ctx,kaggle+stanford_msa,mother_jones,0.26369426751592356,0.16951532572904618,0.49935058021992607,0.05001955070691531,0.26369426751592356,0.16951532572904618,0.23329284980891254,0.11682281027499532,0.3033707865168539,0.37061623601057625,0.7476078431372549,0.09861384539532184,0.3314511966284288,0.21710924548312005
quartile,naive_bayes,youden_val,ctx,mother_jones+stanford_msa,kaggle,0.29460317460317464,0.012171612389003685,0.2665849514345938,0.10557217858216045,0.29460317460317464,0.012171612389003685,0.24488164107571736,0.04618184826348855,0.5115384615384615,0.07644079582442993,0.25791261878218397,0.010468234680159732,0.34136189365229985,0.016546974832557498
quartile,naive_bayes,youden_val,full,kaggle+mother_jones,stanford_msa,0.3784431137724551,0.06669997494618779,0.4545268503402006,0.052299453479567944,0.3784431137724551,0.06669997494618779,0.342966150443685,0.06625197305203145,0.26666666666666666,0.2436262331864092,0.5662100840336135,0.2155283962360156,0.2674163296850371,0.10526514270279659
quartile,naive_bayes,youden_val,full,kaggle+stanford_msa,mother_jones,0.49044585987261147,0.015601845495434252,0.4850839775693988,0.0832389580340868,0.49044585987261147,0.015601845495434252,0.4549681400658711,0.029047205224621623,0.7460674157303371,0.055954604934780834,0.643098634419753,0.02621973125396996,0.6890029234245858,0.013399144588193971
quartile,naive_bayes,youden_val,full,mother_jones+stanford_msa,kaggle,0.3403174603174603,0.02192545606327875,0.34820842162504145,0.040033798620901624,0.3403174603174603,0.02192545606327875,0.27358240864520866,0.031102343721981708,0.4692307692307692,0.19873862588867405,0.3162715629508998,0.0624055442141736,0.35877256993640955,0.04534314121945877
rule,decision_tree,default,ctx,kaggle+mother_jones,stanford_msa,0.3856287425149701,0.03607753372788522,0.8227470177288472,0.016647647729176353,0.3856287425149701,0.03607753372788522,0.4797151138353845,0.015728007689201236,0.06666666666666667,0.0,0.14285714285714285,0.0,0.09090909090909091,0.0
rule,decision_tree,default,ctx,kaggle+stanford_msa,mother_jones,0.29936305732484075,0.0,0.15311440152204484,0.0,0.29936305732484075,0.0,0.14860267279698786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rule,decision_tree,default,ctx,mother_jones+stanford_msa,kaggle,0.39555555555555555,0.031233965399997055,0.7482072154618823,0.027510655584961373,0.39555555555555555,0.031233965399997055,0.48621018338621835,0.03153096211090844,0.22105263157894733,0.2589131342368178,0.28291666666666665,0.1127350938656144,0.15705027932960897,0.006595775933630671
rule,decision_tree,default,full,kaggle+mother_jones,stanford_msa,0.58562874251497,0.08660926817611758,0.7655081068253121,0.010495447367185499,0.58562874251497,0.08660926817611758,0.6453799845358622,0.06324045124926925,0.49333333333333335,0.1977652929892177,0.10423777398511229,0.02739279196152832,0.16671748295277705,0.037392212618956956
rule,decision_tree,default,full,kaggle+stanford_msa,mother_jones,0.24076433121019108,0.10859825914687508,0.2493782475092924,0.1301223271422147,0.24076433121019108,0.10859825914687508,0.18398456758608472,0.12177723805361074,0.3714285714285714,0.21665358411575855,0.07657142857142857,0.05072535090553633,0.1266131621187801,0.08159197603499639
rule,decision_tree,default,full,mother_jones+stanford_msa,kaggle,0.5415873015873016,0.14710783645162295,0.7006604011480372,0.03423560233904569,0.5415873015873016,0.14710783645162295,0.5761818626635626,0.1261293835011895,0.3157894736842105,0.14413751513293846,0.1633963263864359,0.06845742443165508,0.1873048004626952,0.04514933230384406
rule,decision_tree,youden,ctx,kaggle+mother_jones,stanford_msa,0.3856287425149701,0.03607753372788522,0.8227470177288472,0.016647647729176353,0.3856287425149701,0.03607753372788522,0.4797151138353845,0.015728007689201236,0.06666666666666667,0.0,0.14285714285714285,0.0,0.09090909090909091,0.0
rule,decision_tree,youden,ctx,kaggle+stanford_msa,mother_jones,0.09554140127388536,0.0,0.07180081065431385,0.0,0.09554140127388536,0.0,0.026442771665701602,0.0,1.0,0.0,0.09090909090909091,0.0,0.16666666666666666,0.0
rule,decision_tree,youden,ctx,mother_jones+stanford_msa,kaggle,0.3396825396825397,0.041634530313028564,0.7621812027159709,0.022699678813654246,0.3396825396825397,0.041634530313028564,0.42124683180104167,0.04776615873455829,0.28421052631578947,0.2282050883018821,0.13029255319148936,0.11375693804908385,0.12978829237141945,0.022980902759306632
rule,decision_tree,youden,full,kaggle+mother_jones,stanford_msa,0.37065868263473056,0.07762520985149877,0.8189088370993108,0.03271369693135372,0.37065868263473056,0.07762520985149877,0.45194894968521054,0.07594423342581384,0.38666666666666666,0.11925695879998878,0.08231585284789941,0.03713948682717942,0.13176435349076393,0.05208709436458043
rule,decision_tree,youden,full,kaggle+stanford_msa,mother_jones,0.21146496815286625,0.11748096419571516,0.19009394163791388,0.1828194456572392,0.21146496815286625,0.11748096419571516,0.14401096566431806,0.14156454675176766,0.34285714285714286,0.19166296949998196,0.064,0.03577708763999663,0.10786516853932585,0.06029846231460107
rule,decision_tree,youden,full,mother_jones+stanford_msa,kaggle,0.3238095238095238,0.010528967588429833,0.7831018253968857,0.005287496652246692,0.3238095238095238,0.010528967588429833,0.37972763740563653,0.00488859480217304,0.22105263157894733,0.16809178339654013,0.1513157894736842,0.09233992662906709,0.16587622903412375,0.09289117501429016
rule,decision_tree,youden_val,ctx,kaggle+mother_jones,stanford_msa,0.38502994011976044,0.033913050873399075,0.8185631092855388,0.010392693102779486,0.38502994011976044,0.033913050873399075,0.4863625331663991,0.02598958910243383,0.05333333333333333,0.029814239699997195,0.11428571428571428,0.06388765649999399,0.07272727272727272,0.040655781409087086
rule,decision_tree,youden_val,ctx,kaggle+stanford_msa,mother_jones,0.12738853503184713,0.0,0.016331863465621425,0.0,0.12738853503184713,0.0,0.02895193977996525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rule,decision_tree,youden_val,ctx,mother_jones+stanford_msa,kaggle,0.2907936507936508,0.025946433957717535,0.7545187377016542,0.006730031599522182,0.2907936507936508,0.025946433957717535,0.3725754714239682,0.025356448994473996,0.042105263157894736,0.057655006053175376,0.017303267372296365,0.024013095311302333,0.024444444444444442,0.03370166864022911
rule,decision_tree,youden_val,full,kaggle+mother_jones,stanford_msa,0.4203592814371257,0.10537901420356614,0.7985594420531201,0.03460370354501693,0.4203592814371257,0.10537901420356614,0.5023022654661233,0.10042541958229884,0.4133333333333333,0.22310934040908678,0.08984627294846273,0.030442548268491382,0.14437593984962407,0.04927404854205203
rule,decision_tree,youden_val,full,kaggle+stanford_msa,mother_jones,0.19490445859872613,0.06613170625435624,0.10730704122223578,0.06832422200619319,0.19490445859872613,0.06613170625435624,0.11714826935783795,0.06107573763317065,0.4,0.24011051877102302,0.07459900238559966,0.04738918226949206,0.1243566213474446,0.07609294221198884
rule,decision_tree,youden_val,full,mother_jones+stanford_msa,kaggle,0.31873015873015875,0.018861524796841837,0.7819036491497654,0.01481171080385969,0.31873015873015875,0.018861524796841837,0.3767975314191154,0.004704945501328663,0.28421052631578947,0.3192789660653284,0.07784868177116874,0.0871581665630291,0.10338460047956984,0.09794245552890604
rule,multinomial_lr,default,ctx,kaggle+mother_jones,stanford_msa,0.44491017964071855,0.007807428030182806,0.8300312888587088,0.002452523702225053,0.44491017964071855,0.007807428030182806,0.5538017181048417,0.0050348987963081395,0.10666666666666666,0.03651483716701107,0.14486215538847116,0.02513460849691246,0.11915230738760149,0.028631896069617975
rule,multinomial_lr,default,ctx,kaggle+stanford_msa,mother_jones,0.24331210191082803,0.046018832785193475,0.21841247868234123,0.12533017287023324,0.24331210191082803,0.046018832785193475,0.17006249090491207,0.027215083618497334,0.32857142857142857,0.2453652005331095,0.1684848484848485,0.13197656802903915,0.18734632683658173,0.11029458311137734
rule,multinomial_lr,default,ctx,mother_jones+stanford_msa,kaggle,0.446984126984127,0.04049330481630058,0.753209750375082,0.012222307891116802,0.446984126984127,0.04049330481630058,0.5346901545437743,0.04058402299215687,0.3684210526315789,0.0,0.10301136363636362,0.008789082826346259,0.16084129745362913,0.010995244627706091
rule,multinomial_lr,default,full,kaggle+mother_jones,stanford_msa,0.6419161676646706,0.06683423429087455,0.7653605048678997,0.017296198599216973,0.6419161676646706,0.06683423429087455,0.6814459896988513,0.04203527898974258,0.05333333333333333,0.029814239699997195,0.07913419913419913,0.059744494485706984,0.06155867121384363,0.03619665575933445
rule,multinomial_lr,default,full,kaggle+stanford_msa,mother_jones,0.28280254777070063,0.009659713941466941,0.4121086070875083,0.007352609601835072,0.28280254777070063,0.009659713941466941,0.22794752485466452,0.016799673211569433,0.27142857142857146,0.1373956004405096,0.21606288448393712,0.03351822763270977,0.2281904761904762,0.044762306431535344
rule,multinomial_lr,default,full,mother_jones+stanford_msa,kaggle,0.5631746031746031,0.009681238528239273,0.7558522912854093,0.003733694587619951,0.5631746031746031,0.009681238528239273,0.62989010534321,0.008139580972464491,0.3894736842105263,0.06000923289995462,0.1477375580502432,0.013640669287410843,0.21354031475770605,0.020337866438472074
rule,multinomial_lr,youden,ctx,kaggle+mother_jones,stanford_msa,0.4407185628742515,0.012050665747004849,0.8230639322658057,0.015058475446608521,0.4407185628742515,0.012050665747004849,0.5480845488341772,0.012388672572313308,0.29333333333333333,0.14605934866804432,0.09953931506726538,0.0376050669656292,0.13392931326494745,0.010131822103031795
rule,multinomial_lr,youden,ctx,kaggle+stanford_msa,mother_jones,0.3248407643312102,0.08206432310016004,0.18489427415103438,0.08125887325753725,0.3248407643312102,0.08206432310016004,0.1957578612584947,0.10046666841203915,0.11428571428571428,0.16444092047459055,0.09696969696969697,0.14752316902591617,0.09472710453283997,0.13082064156612475
rule,multinomial_lr,youden,ctx,mother_jones+stanford_msa,kaggle,0.36444444444444446,0.00413917613028741,0.7739839548051457,0.00040377413568176256,0.36444444444444446,0.00413917613028741,0.4559341870723335,0.0016253054515460719,0.43157894736842106,0.05765500605317536,0.08642857142857144,0.0009780759955449363,0.14366243075920496,0.0020523979834830407
rule,multinomial_lr,youden,full,kaggle+mother_jones,stanford_msa,0.4862275449101796,0.013817941028999185,0.8297027720470836,0.011799132143846633,0.4862275449101796,0.013817941028999185,0.5754820245030144,0.00910015571038396,0.27999999999999997,0.08692269873603532,0.09958693077708126,0.023829315351464205,0.14562955745221756,0.03584088796569614
rule,multinomial_lr,youden,full,kaggle+stanford_msa,mother_jones,0.3184713375796178,0.01623891564838466,0.4512222559614699,0.02259781351585563,0.3184713375796178,0.01623891564838466,0.3169755266790171,0.015302891560830985,0.4714285714285714,0.12975644374703538,0.22796040310875978,0.05360329884834658,0.29386016776023266,0.02760777499670303
rule,multinomial_lr,youden,full,mother_jones+stanford_msa,kaggle,0.5257142857142857,0.04286302134874957,0.7599308389651758,0.015043387899815611,0.5257142857142857,0.04286302134874957,0.5968287452664497,0.03417176126267775,0.4,0.10259783520851545,0.1417933917933918,0.010935772334733099,0.2074331422537475,0.016799479916961554
rule,multinomial_lr,youden_val,ctx,kaggle+mother_jones,stanford_msa,0.4712574850299401,0.02797439192047444,0.8309812589568353,0.005802573226315988,0.4712574850299401,0.02797439192047444,0.5527286749753304,0.015726315142296814,0.05333333333333333,0.07302967433402215,0.04583333333333333,0.07276770498572076,0.04665090622537431,0.06765618036292666
