seed,strategy,model,threshold_mode,features,train_sources,test_source,accuracy,precision_weighted,recall_weighted,f1_weighted,recall_very_high,precision_very_high,f1_very_high
45,quartile,decision_tree,youden,full,mother_jones+stanford_msa,kaggle,0.3111111111111111,0.3783074205675344,0.3111111111111111,0.2873714848120604,0.038461538461538464,0.6666666666666666,0.07272727272727272
45,quartile,decision_tree,youden,full,kaggle+stanford_msa,mother_jones,0.4840764331210191,0.4361086261107601,0.4840764331210191,0.44582214235207646,0.6179775280898876,0.6626506024096386,0.6395348837209303
45,quartile,decision_tree,youden,full,kaggle+mother_jones,stanford_msa,0.3323353293413174,0.32522763968952995,0.3323353293413174,0.3047761977035505,0.21428571428571427,0.2571428571428571,0.23376623376623376
45,quartile,decision_tree,youden_val,full,mother_jones+stanford_msa,kaggle,0.273015873015873,0.19129643818088476,0.273015873015873,0.14768932783760608,0.1346153846153846,0.4666666666666667,0.208955223880597
45,quartile,decision_tree,youden_val,full,kaggle+stanford_msa,mother_jones,0.46496815286624205,0.4780553622722975,0.46496815286624205,0.4662985205336825,0.6067415730337079,0.675,0.6390532544378699
45,quartile,decision_tree,youden_val,full,kaggle+mother_jones,stanford_msa,0.24251497005988024,0.22852698735708832,0.24251497005988024,0.1593696885827839,0.07142857142857142,1.0,0.13333333333333333
45,quartile,multinomial_lr,default,full,mother_jones+stanford_msa,kaggle,0.3968253968253968,0.3923864997590979,0.3968253968253968,0.3878152434868276,0.36538461538461536,0.35185185185185186,0.3584905660377358
45,quartile,multinomial_lr,default,full,kaggle+stanford_msa,mother_jones,0.5668789808917197,0.439500887543072,0.5668789808917197,0.4925143782873127,0.8764044943820225,0.639344262295082,0.7393364928909952
45,quartile,multinomial_lr,default,full,kaggle+mother_jones,stanford_msa,0.30538922155688625,0.42584221436903286,0.30538922155688625,0.2338013948792392,0.40476190476190477,0.3953488372093023,0.4
45,quartile,multinomial_lr,youden,full,mother_jones+stanford_msa,kaggle,0.3619047619047619,0.3705163012447185,0.3619047619047619,0.3393515534373069,0.5192307692307693,0.3,0.38028169014084506
45,quartile,multinomial_lr,youden,full,kaggle+stanford_msa,mother_jones,0.5031847133757962,0.5001273885350318,0.5031847133757962,0.500151653017895,0.6853932584269663,0.6853932584269663,0.6853932584269663
45,quartile,multinomial_lr,youden,full,kaggle+mother_jones,stanford_msa,0.32934131736526945,0.44681486451232794,0.32934131736526945,0.3250399601593251,0.5476190476190477,0.3194444444444444,0.40350877192982454
45,quartile,multinomial_lr,youden_val,full,mother_jones+stanford_msa,kaggle,0.37777777777777777,0.3815997703429198,0.37777777777777777,0.3560504213827678,0.4423076923076923,0.2875,0.3484848484848485
45,quartile,multinomial_lr,youden_val,full,kaggle+stanford_msa,mother_jones,0.5477707006369427,0.4286025368827917,0.5477707006369427,0.48038221937822134,0.8314606741573034,0.6324786324786325,0.7184466019417476
